 [-0.067054 -0.021893  0.345313]
 [-0.062931 -0.027668  0.343246]
 [-0.058724 -0.031149  0.340684]
 [-0.055134 -0.034525  0.338412]
 [-0.05021  -0.038424  0.336199]
 [-0.046744 -0.041589  0.333674]
 [-0.040777 -0.046801  0.330252]
 [-0.039262 -0.048084  0.327547]
 [-0.037816 -0.048236  0.325112]
 [-0.029024 -0.054038  0.322482]
 [-0.022058 -0.058154  0.319494]
 [-0.017434 -0.06134   0.316063]
 [-0.010839 -0.064382  0.311103]
 [-0.005615 -0.066011  0.305963]
 [-0.000401 -0.067299  0.302246]
 [ 0.005504 -0.069165  0.298617]
 [ 0.010559 -0.069235  0.295484]
 [ 0.018949 -0.070817  0.292927]
 [ 0.024526 -0.07085   0.290608]
 [ 0.031948 -0.071344  0.288806]
 [ 0.037293 -0.071515  0.287375]
 [ 0.042306 -0.070447  0.286161]
 [ 0.048595 -0.069226  0.285312]
 [ 0.052458 -0.067196  0.284775]
 [ 0.057628 -0.063572  0.284405]
 [ 0.061479 -0.059241  0.284156]
 [ 0.064945 -0.053581  0.283985]
 [ 0.068439 -0.04853   0.283912]
 [ 0.071698 -0.042798  0.283912]
 [ 0.074245 -0.035323  0.284113]
 [ 0.076701 -0.029334  0.28483 ]
 [ 0.079291 -0.02325   0.285929]
 [ 0.080354 -0.016403  0.287699]
 [ 0.081732 -0.009186  0.290096]
 [ 0.082533 -0.003099  0.292425]
 [ 0.083297  0.003615  0.29517 ]
 [ 0.083751  0.009317  0.298033]
 [ 0.083929  0.014836  0.300537]
 [ 0.083878  0.020253  0.303139]
 [ 0.08374   0.025572  0.305651]
 [ 0.083183  0.031158  0.307958]
 [ 0.082094  0.036394  0.310072]
 [ 0.080704  0.040501  0.312161]
 [ 0.078727  0.044666  0.314377]
 [ 0.07562   0.048344  0.316604]
 [ 0.073362  0.050119  0.318871]
 [ 0.069797  0.054495  0.321735]
 [ 0.065879  0.056417  0.324652]
 [ 0.062017  0.057327  0.327044]
 [ 0.057354  0.058482  0.329163]
 [ 0.053267  0.060479  0.330947]
 [ 0.049025  0.061857  0.332715]
 [ 0.044659  0.063016  0.334213]
 [ 0.04071   0.064111  0.335711]
 [ 0.037518  0.064366  0.336872]
 [ 0.033258  0.065459  0.338034]
 [ 0.029779  0.06748   0.339069]
 [ 0.025968  0.067277  0.340357]
 [ 0.02154   0.067347  0.341617]
 [ 0.016119  0.068938  0.342739]
 [ 0.010945  0.069453  0.344048]
 [ 0.006957  0.068902  0.345564]
 [ 0.002135  0.068972  0.347037]
 [-0.003076  0.069068  0.348472]
 [-0.00684   0.067804  0.350073]
 [-0.011454  0.067197  0.351675]
 [-0.015974  0.066927  0.353152]
 [-0.019463  0.06624   0.354467]
 [-0.023951  0.066497  0.355761]
 [-0.026627  0.066445  0.356923]
 [-0.029774  0.066449  0.357864]
 [-0.032188  0.065935  0.358588]
 [-0.034537  0.065833  0.359293]
 [-0.037423  0.065836  0.359969]
 [-0.038248  0.064223  0.360501]
 [-0.039475  0.063657  0.36092 ]
 [-0.039799  0.062354  0.361219]
 [-0.040033  0.061537  0.36143 ]
 [-0.040249  0.060872  0.361583]
 [-0.040211  0.060332  0.361698]
 [-0.040022  0.059825  0.361787]
 [-0.039629  0.059574  0.361856]
 [-0.039494  0.059675  0.361909]
 [-0.039366  0.05959   0.361948]
 [-0.039275  0.05941   0.361975]
 [-0.039219  0.059758  0.361992]]
[[ 0.102607  0.069246  0.302644]
 [ 0.102378  0.069488  0.303153]
 [ 0.101372  0.069357  0.303584]
 [ 0.099186  0.069136  0.304218]
 [ 0.09618   0.069025  0.304701]
 [ 0.092266  0.068962  0.305291]
 [ 0.087341  0.069078  0.305856]
 [ 0.080774  0.069027  0.306428]
 [ 0.074013  0.068693  0.307102]
 [ 0.06692   0.067341  0.307754]
 [ 0.06037   0.06474   0.308432]
 [ 0.053382  0.060717  0.309094]
 [ 0.047523  0.056589  0.309651]
 [ 0.043206  0.052232  0.310095]
 [ 0.039872  0.046778  0.310417]
 [ 0.038097  0.043687  0.310648]
 [ 0.037511  0.039824  0.310813]
 [ 0.037511  0.035559  0.31092 ]
 [ 0.038534  0.031279  0.310943]
 [ 0.040545  0.026682  0.310922]
 [ 0.044288  0.021596  0.310742]
 [ 0.048264  0.015833  0.310309]
 [ 0.05291   0.010021  0.309225]
 [ 0.057389  0.005686  0.307052]
 [ 0.063197  0.00222   0.304657]
 [ 0.06838  -0.001085  0.301985]
 [ 0.073478 -0.005357  0.299778]
 [ 0.079213 -0.007915  0.297989]
 [ 0.085083 -0.00835   0.296028]
 [ 0.089495 -0.00869   0.294634]
 [ 0.093496 -0.008383  0.293631]
 [ 0.095709 -0.006855  0.292874]
 [ 0.097999 -0.001951  0.29227 ]
 [ 0.099407  0.003773  0.291885]
 [ 0.100626  0.009315  0.291627]
 [ 0.101382  0.016369  0.291465]
 [ 0.101863  0.02205   0.291426]
 [ 0.102237  0.028316  0.291544]
 [ 0.102879  0.035896  0.29205 ]
 [ 0.103297  0.041279  0.293366]
 [ 0.103749  0.04671   0.295521]
 [ 0.104101  0.051349  0.298068]
 [ 0.104365  0.054317  0.300757]
 [ 0.104705  0.057478  0.304843]
 [ 0.104994  0.058784  0.307255]
 [ 0.105279  0.059414  0.308904]
 [ 0.105514  0.05995   0.310108]
 [ 0.105573  0.058314  0.311303]
